pair,band,HAI
Prefrontal,Theta,0.4892829483809922
Prefrontal,Alpha,0.6233109442096402
Prefrontal,Beta,0.6247119836497886
Prefrontal,Total,0.26391319557675763
Frontal,Theta,0.17053802516417088
Frontal,Alpha,0.061179621048463924
Frontal,Beta,-0.030357339911577
Frontal,Total,0.19745002821095087
Central,Theta,1.2962626118852036
Central,Alpha,1.682315443163012
Central,Beta,2.11365381662959
Central,Total,1.079556055913945
Parietal,Theta,0.23791628873398893
Parietal,Alpha,0.3406763550255526
Parietal,Beta,0.3841344349235617
Parietal,Total,0.17733491464768245
Occipital,Theta,-0.9469454456314178
Occipital,Alpha,-0.33863065444469537
Occipital,Beta,-1.5768288222285518
Occipital,Total,-0.4933453126142716
