channel,Delta_abs,Theta_abs,Alpha_abs,Beta_abs,Total_abs,Delta_rel,Theta_rel,Alpha_rel,Beta_rel
Fp1,8.559563399605805,1.4387254093769528,0.7615892703415288,1.0700138772455319,11.829891956569817,0.7235538102148252,0.12161779791893586,0.06437837920561688,0.09045001266062214
Fp2,9.63701905423341,2.3467714620558504,1.4204348544962202,1.9984734246405247,15.40269879542599,0.625670811474625,0.15236105654112714,0.09221986830762637,0.12974826367662234
F3,6.700877539031659,1.5782459216907228,1.0288110758589073,1.5829218717892937,10.890856408370583,0.6152755382837886,0.14491476726088331,0.09446558078464568,0.14534411367068237
F4,8.767226680121178,1.871709303407565,1.0937186126754663,1.5355906345597377,13.268245230763942,0.6607676092535102,0.14106683068140716,0.08243129318559435,0.11573426687948873
C3,2.3398424654248564,0.5146334852012253,0.2928403727563075,0.4410321831224165,3.5883485065048037,0.6520666711115966,0.1434179217175589,0.08160867658909357,0.12290673058175156
C4,3.454598348781114,1.8812986337008406,1.5748937691740912,3.6510558072755654,10.561846558931613,0.32708280029496706,0.17812213264070975,0.14911159335507332,0.3456834737092497
P3,6.718554666683035,2.0801543159574183,1.3918068921753106,2.4364396695303805,12.626955544346146,0.5320803295051862,0.16473918108382266,0.11022505680702321,0.19295543260396783
Pz,5.419009099562425,1.1426056239362412,5.115984273853454,0.5766434128622107,12.254242410214339,0.44221494223465757,0.09324163711530951,0.4174867856040699,0.047056635045962386
P4,6.903817965068949,2.6388899890813717,1.9567387423133926,3.5775287072260564,15.076975403689769,0.45790470437322506,0.17502781018237648,0.1297832416596317,0.23728424378476684
O1,8.745556340049726,4.180628979601588,8.544469820705402,6.801796349710193,28.27245149006691,0.30933137662725646,0.14786934840335256,0.30221892232116376,0.24058035264822716
O2,8.145353312539385,1.6217669474783851,6.090033695563677,1.405450545228984,17.26260450081043,0.47184961644443535,0.09394682867247801,0.35278765120742744,0.08141590367565926
