channel,mean_uV,SD_uV,min_uV,max_uV,RMS_uV
Fp1,1.764528904370356e-08,9.796852405718639e-06,-4.072824594913982e-05,3.091351027251221e-05,9.796833053566847e-06
Fp2,1.430685306981894e-08,9.8507284490334e-06,-3.255995761719532e-05,3.6815195926465094e-05,9.850703401818324e-06
F3,4.11996967887994e-09,9.795990971124558e-06,-2.9266244382597506e-05,3.446512346272357e-05,9.795956597787448e-06
F4,2.1326542470591816e-09,9.743040346932575e-06,-3.196668694727123e-05,3.7513236748054624e-05,9.743005531101635e-06
C3,3.104986061140728e-08,5.663959183735331e-06,-1.8422144421492703e-05,1.9262597561464645e-05,5.664023915859881e-06
C4,2.7213466671676287e-09,5.811796352364979e-06,-2.5892062694765627e-05,2.3368513211607933e-05,5.811776082362633e-06
P3,-2.1880698518366742e-08,6.134969115827191e-06,-2.4426070012850687e-05,2.5374863980687223e-05,6.13498606548677e-06
Pz,-4.9501154152829265e-08,6.710821181107396e-06,-2.724481964833103e-05,2.5533436200930737e-05,6.710979606168316e-06
P4,-2.9583887433902384e-08,6.2040279851053425e-06,-2.5023256966960616e-05,2.9225857360870577e-05,6.204076202161386e-06
O1,1.2303565973027759e-08,8.45683460318701e-06,-3.3944026654353365e-05,4.212900239508599e-05,8.456813130945035e-06
O2,8.039919338277418e-10,8.197549710878267e-06,-3.1060164474183694e-05,3.353517968207598e-05,8.197520260753684e-06
