channel,Total_uV2,Delta_abs,Delta_rel,Theta_abs,Theta_rel,Alpha_abs,Alpha_rel,Beta_abs,Beta_rel,TBR,TAR,ABR
Fp1,1.182989195656982e-11,8.559563399605805e-12,72.3553810214825,1.4387254093769528e-12,12.161779791893583,7.615892703415288e-13,6.437837920561687,1.0700138772455322e-12,9.045001266062213,1.3445857478788694,1.889109347262426,0.7117564421706745
Fp2,1.5402698795426008e-11,9.637019054233409e-12,62.56708114746243,2.3467714620558506e-12,15.2361056541127,1.42043485449622e-12,9.221986830762626,1.9984734246405246e-12,12.974826367662217,1.1742820460462096,1.652150012108912,0.7107599415547499
F3,1.0890856408370589e-11,6.700877539031657e-12,61.527553828378814,1.5782459216907225e-12,14.491476726088322,1.028811075858907e-12,9.44655807846456,1.5829218717892944e-12,14.534411367068238,0.9970460007016732,1.534048338635077,0.6499443176535082
F4,1.326824523076394e-11,8.767226680121175e-12,66.07676092535101,1.8717093034075648e-12,14.106683068140716,1.0937186126754662e-12,8.243129318559433,1.5355906345597377e-12,11.573426687948874,1.218885594430702,1.7113261872987324,0.7122462120179844
C3,3.588348506504805e-12,2.339842465424857e-12,65.20666711115965,5.146334852012252e-13,14.341792171755879,2.928403727563075e-13,8.160867658909353,4.4103218312241635e-13,12.290673058175146,1.166884197787397,1.7573857059302644,0.6639886701307338
C4,1.0561846558931612e-11,3.4545983487811147e-12,32.70828002949672,1.8812986337008407e-12,17.812213264070976,1.5748937691740911e-12,14.911159335507335,3.651055807275568e-12,34.56834737092499,0.5152752335233882,1.1945558935619098,0.43135297084086016
P3,1.2626955544346144e-11,6.718554666683034e-12,53.208032950518614,2.080154315957419e-12,16.473918108382275,1.3918068921753102e-12,11.022505680702318,2.436439669530381e-12,19.295543260396787,0.8537680378346345,1.494571069917798,0.571246195660399
Pz,1.2254242410214334e-11,5.4190090995624245e-12,44.221494223465776,1.1426056239362415e-12,9.324163711530957,5.115984273853456e-12,41.748678560407015,5.766434128622104e-13,4.705663504596239,1.9814769378268584,0.2233403315518031,8.872006789186935
P4,1.5076975403689768e-11,6.903817965068952e-12,45.790470437322526,2.6388899890813725e-12,17.502781018237652,1.9567387423133927e-12,12.978324165963173,3.5775287072260564e-12,23.728424378476685,0.7376292980546101,1.3486164156802523,0.5469526319554284
O1,2.827245149006692e-11,8.745556340049727e-12,30.933137662725642,4.180628979601587e-12,14.786934840335247,8.544469820705398e-12,30.22189223211635,6.801796349710192e-12,24.058035264822703,0.6146360115265306,0.48927892160972614,1.2562078282554663
O2,1.7262604500810425e-11,8.145353312539384e-12,47.18496164444355,1.6217669474783849e-12,9.394682867247802,6.0900336955636795e-12,35.27876512074277,1.4054505452289835e-12,8.141590367565927,1.1539124965895957,0.2662985179638284,4.333154031095031
