time_s,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.0,-14.473,7.03,-20.227,14.527,-15.976,-7.584,4.517,-2.659
0.0039,-11.72,0.394,-19.865,14.224,-15.117,-2.438,6.965,-2.302
0.0078,-12.969,-1.885,-19.843,9.911,-16.184,-5.882,7.77,-2.456
0.0117,-12.677,-7.868,-20.389,14.597,-18.896,-4.918,7.158,-1.854
0.0156,-13.952,-10.532,-15.453,15.239,-15.957,-10.581,2.803,-0.16
0.0195,-9.088,-10.658,-13.617,12.958,-16.268,-12.193,8.532,-1.284
0.0234,-7.383,-13.668,-16.483,15.124,-13.12,-15.063,3.508,-0.718
0.0273,-7.413,-14.706,-10.058,6.957,-10.31,-14.632,6.361,5.69
0.0312,-5.214,-11.011,-5.66,6.155,-4.953,-15.674,3.676,5.994
0.0352,-7.739,-11.0,-9.727,3.631,-6.929,-14.836,7.771,7.318
0.0391,-12.059,-14.952,-4.468,2.019,-3.365,-16.756,4.601,8.087
0.043,-10.8,-9.575,-0.216,2.1,-2.103,-13.178,3.831,7.082
0.0469,-13.851,-10.45,-4.608,-0.535,-6.27,-12.719,7.252,9.974
0.0508,-10.179,-9.421,-3.827,-7.832,-9.748,-14.307,6.877,8.094
0.0547,-12.286,-10.15,-7.482,-9.328,-1.55,-6.886,8.328,11.702
0.0586,-13.24,-10.452,-1.948,-10.051,-4.823,-7.816,9.874,10.365
0.0625,-14.859,-13.056,-4.488,-4.118,-6.58,-7.055,9.805,9.775
0.0664,-10.903,-10.139,-2.535,-3.601,-6.118,-6.719,4.511,10.181
0.0703,-12.49,-11.401,1.643,-5.755,-4.899,-8.443,2.397,7.797
0.0742,-11.406,-9.93,0.98,-8.333,-0.141,-6.805,3.565,12.37
0.0781,-10.121,-12.562,-2.168,-7.836,-1.625,-8.894,4.485,14.915
0.082,-8.313,-6.617,-1.931,-4.002,0.138,-5.17,6.365,15.966
0.0859,-9.427,-9.714,0.573,-2.24,-3.092,-6.326,1.112,10.737
0.0898,-9.992,-8.277,-1.049,-7.098,-6.702,-5.341,2.519,8.873
0.0938,-9.631,-11.678,-3.629,-4.227,-8.39,-5.221,6.202,9.289
0.0977,-4.749,-9.448,0.144,-1.514,-7.326,-2.513,9.711,12.424
0.1016,-7.807,-5.89,-3.704,-5.936,-7.411,-1.825,6.536,10.363
