ParticipantID,Proficiency,WritingType,Item,N400_Amp,P600_Amp,Electrode
P01,High,Generic,Item1,-3.1,1.2,Pz
P01,High,Generic,Item2,-3.3,1.0,Pz
P01,High,Inclusive,Item1,-4.2,2.1,Pz
P01,High,Inclusive,Item2,-4.0,2.3,Pz
P02,High,Generic,Item1,-3.0,1.1,Pz
P02,High,Generic,Item2,-3.2,0.9,Pz
P02,High,Inclusive,Item1,-4.5,2.5,Pz
P02,High,Inclusive,Item2,-4.1,2.2,Pz
P03,High,Generic,Item1,-2.9,1.3,Pz
P03,High,Generic,Item2,-3.1,1.1,Pz
P03,High,Inclusive,Item1,-4.0,2.0,Pz
P03,High,Inclusive,Item2,-4.3,2.4,Pz
P04,High,Generic,Item1,-3.2,1.0,Pz
P04,High,Generic,Item2,-3.0,1.2,Pz
P04,High,Inclusive,Item1,-4.1,2.2,Pz
P04,High,Inclusive,Item2,-4.4,2.1,Pz
P05,High,Generic,Item1,-3.1,1.1,Pz
P05,High,Generic,Item2,-3.4,0.8,Pz
P05,High,Inclusive,Item1,-4.3,2.3,Pz
P05,High,Inclusive,Item2,-4.2,2.0,Pz
P06,High,Generic,Item1,-3.0,1.0,Pz
P06,High,Generic,Item2,-3.2,1.1,Pz
P06,High,Inclusive,Item1,-4.1,2.1,Pz
P06,High,Inclusive,Item2,-4.5,2.4,Pz
P07,High,Generic,Item1,-3.3,1.2,Pz
P07,High,Generic,Item2,-3.1,1.0,Pz
P07,High,Inclusive,Item1,-4.0,2.1,Pz
P07,High,Inclusive,Item2,-4.2,2.2,Pz
P08,High,Generic,Item1,-3.1,1.1,Pz
P08,High,Generic,Item2,-3.0,0.9,Pz
P08,High,Inclusive,Item1,-4.4,2.3,Pz
P08,High,Inclusive,Item2,-4.1,2.1,Pz
P09,High,Generic,Item1,-3.0,1.0,Pz
P09,High,Generic,Item2,-3.2,1.2,Pz
P09,High,Inclusive,Item1,-4.2,2.4,Pz
P09,High,Inclusive,Item2,-4.0,2.0,Pz
P10,High,Generic,Item1,-3.2,1.1,Pz
P10,High,Generic,Item2,-3.1,0.9,Pz
P10,High,Inclusive,Item1,-4.1,2.1,Pz
P10,High,Inclusive,Item2,-4.3,2.2,Pz
P11,High,Generic,Item1,-3.1,1.2,Pz
P11,High,Generic,Item2,-3.0,1.1,Pz
P11,High,Inclusive,Item1,-4.3,2.2,Pz
P11,High,Inclusive,Item2,-4.1,2.0,Pz
P12,High,Generic,Item1,-2.9,1.3,Pz
P12,High,Generic,Item2,-3.1,1.0,Pz
P12,High,Inclusive,Item1,-4.2,2.3,Pz
P12,High,Inclusive,Item2,-4.4,2.1,Pz
P13,High,Generic,Item1,-3.3,1.1,Pz
P13,High,Generic,Item2,-3.0,1.2,Pz
P13,High,Inclusive,Item1,-4.1,2.4,Pz
P13,High,Inclusive,Item2,-4.3,2.1,Pz
P14,High,Generic,Item1,-3.0,1.0,Pz
P14,High,Generic,Item2,-3.2,1.1,Pz
P14,High,Inclusive,Item1,-4.4,2.2,Pz
P14,High,Inclusive,Item2,-4.2,2.0,Pz
P15,High,Generic,Item1,-3.1,1.2,Pz
P15,High,Generic,Item2,-3.1,1.0,Pz
P15,High,Inclusive,Item1,-4.1,2.1,Pz
P15,High,Inclusive,Item2,-4.3,2.2,Pz
P16,High,Generic,Item1,-3.2,1.1,Pz
P16,High,Generic,Item2,-3.0,0.9,Pz
P16,High,Inclusive,Item1,-4.0,2.1,Pz
P16,High,Inclusive,Item2,-4.4,2.3,Pz
P17,High,Generic,Item1,-3.0,1.0,Pz
P17,High,Generic,Item2,-3.2,1.1,Pz
P17,High,Inclusive,Item1,-4.2,2.2,Pz
P17,High,Inclusive,Item2,-4.1,2.0,Pz
P18,High,Generic,Item1,-3.1,1.2,Pz
P18,High,Generic,Item2,-3.1,1.0,Pz
P18,High,Inclusive,Item1,-4.3,2.3,Pz
P18,High,Inclusive,Item2,-4.5,2.1,Pz
P19,High,Generic,Item1,-3.2,1.1,Pz
P19,High,Generic,Item2,-3.0,0.9,Pz
P19,High,Inclusive,Item1,-4.1,2.1,Pz
P19,High,Inclusive,Item2,-4.2,2.2,Pz
P20,High,Generic,Item1,-3.0,1.0,Pz
P20,High,Generic,Item2,-3.3,1.1,Pz
P20,High,Inclusive,Item1,-4.4,2.3,Pz
P20,High,Inclusive,Item2,-4.1,2.1,Pz
P21,Low,Generic,Item1,-3.4,1.4,Pz
P21,Low,Generic,Item2,-3.6,1.2,Pz
P21,Low,Inclusive,Item1,-6.8,4.2,Pz
P21,Low,Inclusive,Item2,-7.1,4.5,Pz
P22,Low,Generic,Item1,-3.2,1.5,Pz
P22,Low,Generic,Item2,-3.3,1.3,Pz
P22,Low,Inclusive,Item1,-7.2,4.6,Pz
P22,Low,Inclusive,Item2,-6.9,4.1,Pz
P23,Low,Generic,Item1,-3.5,1.2,Pz
P23,Low,Generic,Item2,-3.1,1.1,Pz
P23,Low,Inclusive,Item1,-6.5,3.9,Pz
P23,Low,Inclusive,Item2,-6.7,4.0,Pz
P24,Low,Generic,Item1,-3.1,1.4,Pz
P24,Low,Generic,Item2,-3.4,1.2,Pz
P24,Low,Inclusive,Item1,-7.5,4.8,Pz
P24,Low,Inclusive,Item2,-7.2,4.4,Pz
P25,Low,Generic,Item1,-3.3,1.1,Pz
P25,Low,Generic,Item2,-3.5,1.3,Pz
P25,Low,Inclusive,Item1,-6.9,4.1,Pz
P25,Low,Inclusive,Item2,-7.0,4.3,Pz
P26,Low,Generic,Item1,-3.0,1.2,Pz
P26,Low,Generic,Item2,-3.2,1.0,Pz
P26,Low,Inclusive,Item1,-7.1,4.4,Pz
P26,Low,Inclusive,Item2,-6.8,3.7,Pz
P27,Low,Generic,Item1,-3.4,1.3,Pz
P27,Low,Generic,Item2,-3.1,1.1,Pz
P27,Low,Inclusive,Item1,-7.3,4.6,Pz
P27,Low,Inclusive,Item2,-6.6,4.2,Pz
P28,Low,Generic,Item1,-3.1,1.4,Pz
P28,Low,Generic,Item2,-3.3,1.0,Pz
P28,Low,Inclusive,Item1,-6.8,3.8,Pz
P28,Low,Inclusive,Item2,-7.2,4.1,Pz
P29,Low,Generic,Item1,-3.2,1.1,Pz
