ParticipantID,Proficiency,WritingType,Epoch,N400_Amp,P600_Amp
1,High,Generic,1,-3.0355,1.0423
1,High,Generic,2,-3.0128,1.3746
1,High,Generic,3,-3.1451,1.0232
1,High,Generic,4,-2.8731,1.2235
1,High,Generic,5,-3.1804,1.1785
1,High,Generic,6,-3.1795,0.9769
1,High,Generic,7,-3.0737,0.6873
1,High,Generic,8,-3.3687,0.9575
1,High,Generic,9,-3.2619,1.1328
1,High,Generic,10,-3.2462,0.7875
1,High,Generic,11,-2.8902,1.0248
1,High,Generic,12,-3.0999,0.7851
1,High,Generic,13,-3.1917,1.0922
1,High,Generic,14,-3.2826,1.1451
1,High,Generic,15,-3.2001,1.0117
1,High,Generic,16,-3.2003,1.4405
1,High,Generic,17,-3.112,0.8585
1,High,Generic,18,-2.9866,0.8258
1,High,Generic,19,-3.0787,0.6781
1,High,Generic,20,-3.3092,1.1094
1,High,Generic,21,-2.9992,1.1043
1,High,Generic,22,-3.1273,1.0098
1,High,Generic,23,-3.3318,0.926
1,High,Generic,24,-3.1791,1.2814
1,High,Generic,25,-3.0585,0.7174
1,High,Generic,26,-3.0614,0.993
1,High,Generic,27,-3.2115,1.1923
1,High,Generic,28,-2.9554,1.2563
1,High,Generic,29,-3.2359,1.0082
1,High,Generic,30,-3.0603,1.2651
1,High,Generic,31,-3.1819,1.0329
1,High,Generic,32,-3.276,0.8308
1,High,Generic,33,-2.9881,1.3412
1,High,Generic,34,-3.1208,1.2707
1,High,Generic,35,-3.0558,0.941
1,High,Generic,36,-3.0558,1.3776
1,High,Generic,37,-3.1154,1.3829
1,High,Generic,38,-3.503,1.2344
1,High,Generic,39,-3.0969,1.0102
1,High,Generic,40,-3.0962,0.6725
1,High,Inclusive,1,-4.251,2.2544
1,High,Inclusive,2,-3.9963,2.0793
1,High,Inclusive,3,-4.3393,2.0826
1,High,Inclusive,4,-4.0807,2.2488
1,High,Inclusive,5,-4.2975,2.2857
1,High,Inclusive,6,-4.2034,2.3767
1,High,Inclusive,7,-4.3233,2.1175
1,High,Inclusive,8,-4.2768,1.8903
1,High,Inclusive,9,-4.1736,2.2352
1,High,Inclusive,10,-4.2172,2.1361
1,High,Inclusive,11,-4.4303,2.0989
1,High,Inclusive,12,-4.2694,2.0225
1,High,Inclusive,13,-4.2422,2.2638
1,High,Inclusive,14,-3.9351,2.2179
1,High,Inclusive,15,-4.1794,2.1681
1,High,Inclusive,16,-4.5058,2.1777
1,High,Inclusive,17,-4.209,2.6756
1,High,Inclusive,18,-4.2469,2.2433
1,High,Inclusive,19,-4.2232,1.9493
1,High,Inclusive,20,-4.0466,2.3334
1,High,Inclusive,21,-4.0993,2.0011
1,High,Inclusive,22,-4.0076,1.9026
1,High,Inclusive,23,-4.13,2.6211
1,High,Inclusive,24,-4.3666,2.0697
1,High,Inclusive,25,-4.2031,2.0823
1,High,Inclusive,26,-4.4506,2.1967
1,High,Inclusive,27,-4.3773,2.2777
1,High,Inclusive,28,-4.3559,2.493
1,High,Inclusive,29,-4.3355,2.1186
1,High,Inclusive,30,-4.096,1.9368
1,High,Inclusive,31,-4.1839,2.4444
1,High,Inclusive,32,-4.4591,2.2199
1,High,Inclusive,33,-4.179,2.3394
1,High,Inclusive,34,-4.4035,1.9189
1,High,Inclusive,35,-4.1397,2.2424
1,High,Inclusive,36,-4.1804,2.2523
1,High,Inclusive,37,-4.32,2.2295
1,High,Inclusive,38,-4.174,2.0401
1,High,Inclusive,39,-3.9381,2.2778
1,High,Inclusive,40,-4.3967,2.3143
2,High,Generic,1,-3.2562,1.2274
2,High,Generic,2,-2.9362,0.9059
2,High,Generic,3,-2.9655,1.1526
2,High,Generic,4,-2.9867,1.4494
2,High,Generic,5,-3.1468,0.9193
2,High,Generic,6,-3.2434,0.9068
2,High,Generic,7,-3.1216,1.1382
2,High,Generic,8,-3.0685,1.2354
2,High,Generic,9,-3.108,1.3607
2,High,Generic,10,-3.1497,1.614
2,High,Generic,11,-3.0161,0.8986
2,High,Generic,12,-3.2706,1.1665
2,High,Generic,13,-3.1435,1.2128
2,High,Generic,14,-3.039,1.0554
2,High,Generic,15,-3.237,0.767
2,High,Generic,16,-3.177,1.2413
2,High,Generic,17,-3.0779,0.8209
2,High,Generic,18,-3.084,1.1471
2,High,Generic,19,-3.2426,1.1007
2,High,Generic,20,-3.1013,0.8414
2,High,Generic,21,-3.0563,1.1822
2,High,Generic,22,-2.9475,1.2808
2,High,Generic,23,-3.3167,0.8824
2,High,Generic,24,-3.0327,1.1728
2,High,Generic,25,-3.0327,1.8405
2,High,Generic,26,-3.0244,1.2971
2,High,Generic,27,-2.9669,1.2003
2,High,Generic,28,-3.1573,1.2218
2,High,Generic,29,-3.2259,1.0226
2,High,Generic,30,-3.1828,1.0864
2,High,Generic,31,-2.7628,0.6965
2,High,Generic,32,-3.0071,0.7475
2,High,Generic,33,-3.1808,1.2878
2,High,Generic,34,-3.1004,0.8545
2,High,Generic,35,-3.2173,1.2059
2,High,Generic,36,-3.2196,1.1133
2,High,Generic,37,-3.1032,0.9397
2,High,Generic,38,-2.7884,1.1968
2,High,Generic,39,-3.4138,1.1073
2,High,Generic,40,-3.2093,1.2405
2,High,Inclusive,1,-4.3369,2.1601
2,High,Inclusive,2,-4.1423,2.3562
2,High,Inclusive,3,-4.398,2.1161
2,High,Inclusive,4,-4.2892,2.0523
2,High,Inclusive,5,-3.9532,2.264
2,High,Inclusive,6,-4.4071,2.3666
2,High,Inclusive,7,-3.8997,2.3895
2,High,Inclusive,8,-4.4459,2.0862
2,High,Inclusive,9,-4.028,2.0415
2,High,Inclusive,10,-4.1514,2.3379
2,High,Inclusive,11,-4.357,2.1711
2,High,Inclusive,12,-4.7042,1.9781
2,High,Inclusive,13,-4.2559,1.9334
2,High,Inclusive,14,-3.9731,1.897
2,High,Inclusive,15,-4.284,2.2091
2,High,Inclusive,16,-4.0018,1.8958
2,High,Inclusive,17,-4.0435,2.185
2,High,Inclusive,18,-4.3652,2.2754
2,High,Inclusive,19,-4.1881,2.063
2,High,Inclusive,20,-4.2075,2.1059
2,High,Inclusive,21,-4.201,2.3154
2,High,Inclusive,22,-3.9801,1.9354
2,High,Inclusive,23,-3.898,1.7926
2,High,Inclusive,24,-4.2408,2.3007
2,High,Inclusive,25,-4.1759,2.0585
2,High,Inclusive,26,-4.2492,2.0844
2,High,Inclusive,27,-4.3064,2.3529
2,High,Inclusive,28,-4.1644,2.0444
2,High,Inclusive,29,-4.0831,2.2445
2,High,Inclusive,30,-4.0961,2.3089
2,High,Inclusive,31,-4.3423,2.071
2,High,Inclusive,32,-4.1059,2.3051
2,High,Inclusive,33,-4.2211,2.2065
2,High,Inclusive,34,-4.0264,2.0647
2,High,Inclusive,35,-4.1359,2.1426
2,High,Inclusive,36,-4.2507,2.4028
2,High,Inclusive,37,-4.0942,2.3457
2,High,Inclusive,38,-4.0222,2.1872
2,High,Inclusive,39,-4.1157,2.1209
2,High,Inclusive,40,-4.1694,2.157
3,High,Generic,1,-3.0955,1.189
3,High,Generic,2,-3.2327,1.4885
