ParticipantID,Alpha_C3C4,Beta_C3C4,Theta_C3C4
1,0.05862,0.06345,-0.01199
2,0.07017,0.0754,-0.00547
3,0.05871,0.06379,-0.0081
4,0.05408,0.06999,-0.0037
5,0.0775,0.07675,-0.01516
6,0.0703,0.05469,-0.00134
7,0.05693,0.05397,-0.0055
8,0.03535,0.04669,-0.01007
9,0.06292,0.06051,-0.02409
10,0.05392,0.06811,-0.00248
11,0.06194,0.07577,-0.00433
12,0.05463,0.06139,-0.02233
13,0.06102,0.07532,-0.00145
14,0.07612,0.06117,0.00516
15,0.06017,0.07892,-0.00852
16,0.06917,0.07895,-0.01023
17,0.06428,0.07709,-0.00963
18,0.04889,0.08563,-0.013
19,0.06369,0.07576,-0.01438
20,0.05202,0.06674,-0.02623
21,0.05922,0.06665,-0.011
22,0.04667,0.08014,-0.00726
23,0.07641,0.0616,-0.0171
24,0.06479,0.06204,-0.02008
25,0.0768,0.05798,-0.0267
26,0.07538,0.05916,-0.01438
27,0.04445,0.08161,-0.02119
28,0.06268,0.07333,-0.00408
29,0.0615,0.04718,-0.0164
30,0.06398,0.05633,-0.00627
31,0.06892,0.07383,-0.02056
32,0.08407,0.07187,-0.00832
33,0.073,0.08785,-0.02269
34,0.05985,0.04042,-0.00637
35,0.06575,0.06381,-0.01485
36,0.0416,0.06794,0.00625
37,0.05619,0.0686,-0.02398
38,0.06667,0.06027,-0.01592
39,0.0545,0.06026,-0.00448
40,0.04898,0.06023,-0.00871
