ParticipantID,TBR,TAR,ABR
1,8.1483,2.1305,3.4876
2,8.2423,2.2774,3.9644
3,7.9256,2.2537,3.4674
4,8.0683,2.2683,3.5625
5,6.996,2.2565,3.6921
6,7.6027,2.0787,4.0032
7,8.2354,2.1948,3.2716
8,7.5262,2.3633,3.6285
9,7.6727,2.2761,3.362
10,8.7805,2.3688,3.4594
11,7.6305,1.932,3.1752
12,7.2467,2.2349,3.4987
13,7.2435,2.1891,3.7315
14,8.255,2.011,3.5541
15,7.223,2.3192,3.8096
16,7.4851,2.1357,3.4608
17,6.7535,2.257,3.5136
18,8.4939,2.0992,3.4166
19,7.1565,2.1095,3.259
20,8.5078,2.1432,3.6248
21,7.7644,2.0804,3.5429
22,8.2935,2.0871,3.8166
23,7.5112,2.1669,3.7386
24,7.6117,2.2241,3.5019
25,8.0399,1.9581,3.0777
26,8.3026,2.3341,3.3351
27,7.8382,2.2524,3.7841
28,6.8751,2.1225,3.4969
29,8.3497,2.4948,3.5262
30,7.2102,2.2642,3.9599
31,8.0283,2.1203,3.8582
32,8.3283,2.1071,3.6968
33,8.5085,2.35,3.5714
34,7.7766,2.355,3.2512
35,8.2068,2.0693,3.8883
36,7.8307,2.3595,3.7276
37,7.3095,2.3767,4.0243
38,8.4464,2.1362,3.5043
39,8.0485,2.1426,4.0639
40,8.0479,1.9226,3.685
