event_index,subject_id,group,recording_date,label,onset_sample,onset_time_s,isi_samples
1,S25,Low,2026-01-01,1,0,0.0,
2,S25,Low,2026-01-01,1,1628,3.1797,1628.0
3,S25,Low,2026-01-01,1,3100,6.0547,1472.0
4,S25,Low,2026-01-01,2,4251,8.3027,1151.0
5,S25,Low,2026-01-01,1,5428,10.6016,1177.0
6,S25,Low,2026-01-01,1,6990,13.6523,1562.0
7,S25,Low,2026-01-01,1,9352,18.2656,2362.0
8,S25,Low,2026-01-01,2,11173,21.8223,1821.0
9,S25,Low,2026-01-01,1,13513,26.3926,2340.0
10,S25,Low,2026-01-01,2,15317,29.916,1804.0
11,S25,Low,2026-01-01,2,16894,32.9961,1577.0
12,S25,Low,2026-01-01,2,18199,35.5449,1305.0
13,S25,Low,2026-01-01,2,20055,39.1699,1856.0
14,S25,Low,2026-01-01,1,22386,43.7227,2331.0
15,S25,Low,2026-01-01,1,24089,47.0488,1703.0
16,S25,Low,2026-01-01,1,26313,51.3926,2224.0
17,S25,Low,2026-01-01,2,27572,53.8516,1259.0
18,S25,Low,2026-01-01,2,29742,58.0898,2170.0
19,S25,Low,2026-01-01,2,32075,62.6465,2333.0
20,S25,Low,2026-01-01,2,33316,65.0703,1241.0
21,S25,Low,2026-01-01,2,35185,68.7207,1869.0
22,S25,Low,2026-01-01,1,37044,72.3516,1859.0
23,S25,Low,2026-01-01,2,39027,76.2246,1983.0
24,S25,Low,2026-01-01,1,40522,79.1445,1495.0
25,S25,Low,2026-01-01,2,41795,81.6309,1273.0
26,S25,Low,2026-01-01,1,43195,84.3652,1400.0
27,S25,Low,2026-01-01,2,44364,86.6484,1169.0
28,S25,Low,2026-01-01,1,46719,91.248,2355.0
29,S25,Low,2026-01-01,2,48198,94.1367,1479.0
30,S25,Low,2026-01-01,2,50474,98.582,2276.0
31,S25,Low,2026-01-01,2,52450,102.4414,1976.0
32,S25,Low,2026-01-01,1,53870,105.2148,1420.0
33,S25,Low,2026-01-01,2,55863,109.1074,1993.0
34,S25,Low,2026-01-01,2,58047,113.373,2184.0
35,S25,Low,2026-01-01,1,60286,117.7461,2239.0
36,S25,Low,2026-01-01,2,61883,120.8652,1597.0
37,S25,Low,2026-01-01,2,63837,124.6816,1954.0
38,S25,Low,2026-01-01,1,66207,129.3105,2370.0
39,S25,Low,2026-01-01,1,67738,132.3008,1531.0
40,S25,Low,2026-01-01,2,69296,135.3438,1558.0
41,S25,Low,2026-01-01,2,70994,138.6602,1698.0
42,S25,Low,2026-01-01,2,73406,143.3711,2412.0
43,S25,Low,2026-01-01,1,75086,146.6523,1680.0
44,S25,Low,2026-01-01,2,76560,149.5312,1474.0
45,S25,Low,2026-01-01,2,78065,152.4707,1505.0
46,S25,Low,2026-01-01,1,79407,155.0918,1342.0
47,S25,Low,2026-01-01,1,81078,158.3555,1671.0
48,S25,Low,2026-01-01,2,82762,161.6445,1684.0
49,S25,Low,2026-01-01,1,84306,164.6602,1544.0
50,S25,Low,2026-01-01,1,86373,168.6973,2067.0
51,S25,Low,2026-01-01,1,88487,172.8262,2114.0
52,S25,Low,2026-01-01,2,89937,175.6582,1450.0
53,S25,Low,2026-01-01,1,92375,180.4199,2438.0
54,S25,Low,2026-01-01,2,94531,184.6309,2156.0
55,S25,Low,2026-01-01,1,96665,188.7988,2134.0
56,S25,Low,2026-01-01,1,98542,192.4648,1877.0
57,S25,Low,2026-01-01,1,100103,195.5137,1561.0
58,S25,Low,2026-01-01,2,101895,199.0137,1792.0
59,S25,Low,2026-01-01,1,103762,202.6602,1867.0
60,S25,Low,2026-01-01,2,106021,207.0723,2259.0
61,S25,Low,2026-01-01,1,108440,211.7969,2419.0
62,S25,Low,2026-01-01,1,110863,216.5293,2423.0
63,S25,Low,2026-01-01,2,112290,219.3164,1427.0
64,S25,Low,2026-01-01,2,113497,221.6738,1207.0
65,S25,Low,2026-01-01,2,114778,224.1758,1281.0
66,S25,Low,2026-01-01,2,116863,228.248,2085.0
67,S25,Low,2026-01-01,1,118316,231.0859,1453.0
68,S25,Low,2026-01-01,2,119542,233.4805,1226.0
69,S25,Low,2026-01-01,2,121554,237.4102,2012.0
70,S25,Low,2026-01-01,1,122817,239.877,1263.0
71,S25,Low,2026-01-01,2,124159,242.498,1342.0
72,S25,Low,2026-01-01,1,126111,246.3105,1952.0
73,S25,Low,2026-01-01,1,127296,248.625,1185.0
74,S25,Low,2026-01-01,2,129498,252.9258,2202.0
75,S25,Low,2026-01-01,2,130773,255.416,1275.0
76,S25,Low,2026-01-01,2,132613,259.0098,1840.0
77,S25,Low,2026-01-01,2,135034,263.7383,2421.0
78,S25,Low,2026-01-01,1,136499,266.5996,1465.0
79,S25,Low,2026-01-01,1,138519,270.5449,2020.0
