event_index,subject_id,group,recording_date,label,onset_sample,onset_time_s
1,S01,High,2026-01-01,1,0,0.0
2,S01,High,2026-01-01,1,1577,3.0801
3,S01,High,2026-01-01,2,3949,7.7129
4,S01,High,2026-01-01,2,6067,11.8496
5,S01,High,2026-01-01,2,7772,15.1797
6,S01,High,2026-01-01,2,9044,17.6641
7,S01,High,2026-01-01,2,10810,21.1133
8,S01,High,2026-01-01,2,12077,23.5879
9,S01,High,2026-01-01,2,14449,28.2207
10,S01,High,2026-01-01,2,16339,31.9121
11,S01,High,2026-01-01,2,17847,34.8574
12,S01,High,2026-01-01,2,20094,39.2461
13,S01,High,2026-01-01,1,22248,43.4531
14,S01,High,2026-01-01,1,23468,45.8359
15,S01,High,2026-01-01,1,25426,49.6602
16,S01,High,2026-01-01,2,26886,52.5117
17,S01,High,2026-01-01,2,28668,55.9922
18,S01,High,2026-01-01,1,30947,60.4434
19,S01,High,2026-01-01,2,33125,64.6973
20,S01,High,2026-01-01,1,34686,67.7461
21,S01,High,2026-01-01,1,35845,70.0098
22,S01,High,2026-01-01,1,37172,72.6016
23,S01,High,2026-01-01,1,39248,76.6562
24,S01,High,2026-01-01,1,40870,79.8242
25,S01,High,2026-01-01,2,42152,82.3281
26,S01,High,2026-01-01,2,43676,85.3047
27,S01,High,2026-01-01,1,45397,88.666
28,S01,High,2026-01-01,1,46588,90.9922
29,S01,High,2026-01-01,2,47881,93.5176
30,S01,High,2026-01-01,2,50248,98.1406
31,S01,High,2026-01-01,1,51612,100.8047
32,S01,High,2026-01-01,2,53474,104.4414
33,S01,High,2026-01-01,2,54618,106.6758
34,S01,High,2026-01-01,1,55979,109.334
35,S01,High,2026-01-01,1,58335,113.9355
36,S01,High,2026-01-01,2,60265,117.7051
37,S01,High,2026-01-01,2,62197,121.4785
38,S01,High,2026-01-01,1,63351,123.7324
39,S01,High,2026-01-01,1,65277,127.4941
40,S01,High,2026-01-01,1,66982,130.8242
41,S01,High,2026-01-01,1,68130,133.0664
42,S01,High,2026-01-01,2,69621,135.9785
43,S01,High,2026-01-01,1,70969,138.6113
44,S01,High,2026-01-01,1,73017,142.6113
45,S01,High,2026-01-01,1,75251,146.9746
46,S01,High,2026-01-01,1,77252,150.8828
47,S01,High,2026-01-01,1,79181,154.6504
48,S01,High,2026-01-01,2,81634,159.4414
49,S01,High,2026-01-01,2,83809,163.6895
50,S01,High,2026-01-01,2,86264,168.4844
51,S01,High,2026-01-01,2,88655,173.1543
52,S01,High,2026-01-01,2,90143,176.0605
53,S01,High,2026-01-01,2,92433,180.5332
54,S01,High,2026-01-01,2,94185,183.9551
55,S01,High,2026-01-01,2,95847,187.2012
56,S01,High,2026-01-01,2,98088,191.5781
57,S01,High,2026-01-01,1,100416,196.125
58,S01,High,2026-01-01,1,101863,198.9512
59,S01,High,2026-01-01,1,104316,203.7422
60,S01,High,2026-01-01,2,105792,206.625
61,S01,High,2026-01-01,1,107619,210.1934
62,S01,High,2026-01-01,2,110004,214.8516
63,S01,High,2026-01-01,2,111442,217.6602
64,S01,High,2026-01-01,2,113308,221.3047
65,S01,High,2026-01-01,1,114565,223.7598
66,S01,High,2026-01-01,2,116523,227.584
67,S01,High,2026-01-01,2,118785,232.002
68,S01,High,2026-01-01,1,120004,234.3828
69,S01,High,2026-01-01,2,121365,237.041
70,S01,High,2026-01-01,1,123097,240.4238
71,S01,High,2026-01-01,1,124983,244.1074
72,S01,High,2026-01-01,2,126621,247.3066
73,S01,High,2026-01-01,2,128741,251.4473
74,S01,High,2026-01-01,1,130336,254.5625
75,S01,High,2026-01-01,1,132248,258.2969
76,S01,High,2026-01-01,2,133914,261.5508
77,S01,High,2026-01-01,1,135650,264.9414
1,S25,Low,2026-01-01,1,0,0.0
2,S25,Low,2026-01-01,1,1628,3.1797
3,S25,Low,2026-01-01,1,3100,6.0547
4,S25,Low,2026-01-01,2,4251,8.3027
5,S25,Low,2026-01-01,1,5428,10.6016
6,S25,Low,2026-01-01,1,6990,13.6523
7,S25,Low,2026-01-01,1,9352,18.2656
8,S25,Low,2026-01-01,2,11173,21.8223
